,Unnamed: 0,primary_sens,primary_spec,triage_sens,triage_spec,location,primary,triage,precin,cin1,cin2,cin3,cancerous,ltfu,scen_label,fit,primary_sens_to_fit,primary_spec_to_fit,triage_sens_to_fit,triage_spec_to_fit
0,0,0.900308768460133,0.8943716173109231,,,nigeria,ave,,0.0978070614081582,0.2557916054441289,0.9812111042533184,0.9553603953974236,0.8414363021398472,,AVE,0.0718670953011734,0.9,0.83,,
0,0,0.8195149109698294,0.8993856923692914,,,nigeria,ave,,0.0943550472865727,0.2293409544992802,0.963122051631347,0.8610545506879819,0.9844755109092675,,AVE,0.04636137372030463,0.82,0.86,,
0,0,0.6209032129276715,0.8980208757397251,,,nigeria,ave,,0.0881717621299331,0.297814223484854,0.8638822659923132,0.9269737801485496,0.9217407269982332,,AVE,0.04526056821790303,0.62,0.86,,
0,0,0.9057882630976476,0.7494748266365359,0.9318584932314652,0.6485710244742134,nigeria,hpv,"<hpvsim.interventions.dx at 0x7f44b7bd7220>
",0.0815184787637099,0.2948304303462188,0.9858723812559892,0.9552531721819773,0.9839566342441576,0.3,HPV+AVE,0.12285529604499808,,,0.95,0.55
0,0,0.91526194568503,0.7511729648992449,0.8964568699668,0.7012047975673499,nigeria,hpv,"<hpvsim.interventions.dx at 0x7f44bc836460>
",0.0655964938654647,0.1206589667858341,0.991307503402666,0.8833446894559711,0.8457358732913811,0.3,HPV+AVE,0.0052754751117222035,,,0.9,0.7
