year,age,males,females
1990,0,4189163,4120489
1990,10,2979733,2936486
1990,20,2053714,2042950
1990,30,1362186,1372687
1990,40,906819,965522
1990,50,568012,634410
1990,60,323036,383868
1990,70,133539,170973
1990,80,25030,35231
2020,0,9286277,9076039
2020,10,7111225,6977817
2020,20,4935184,4911065
2020,30,3571069,3590859
2020,40,2402547,2418180
2020,50,1429951,1496684
2020,60,749694,873106
2020,70,307260,433976
2020,80,57901,105379
